County/City,R_SHARE,Year
Bath County,0.4129692832764505,1996
Bedford City,0.4283859800951969,1996
Bedford County,0.5407300194490932,1996
Bland County,0.4599921166732361,1996
Botetourt County,0.5172859450726979,1996
Bristol City,0.4950215731828742,1996
Brunswick County,0.347921595133491,1996
Buchanan County,0.2695509097948122,1996
Buckingham County,0.4070103092783505,1996
Buena Vista City,0.34662129314535733,1996
Campbell County,0.5434874616442704,1996
Caroline County,0.38654770075497596,1996
Carroll County,0.5103821847727956,1996
Charles City County,0.26157158234660927,1996
Charlotte County,0.4557867360208062,1996
Charlottesville City,0.31988427554930016,1996
Chesapeake City,0.4666273171042976,1996
Chesterfield County,0.6071485986817426,1996
Clarke County,0.4817246662289341,1996
Clifton Forge City,0.2961608775137112,1996
Colonial Heights City,0.6661872572990076,1996
Covington City,0.31104769669792093,1996
Craig County,0.4534506716072256,1996
Culpeper County,0.5389936510944755,1996
Cumberland County,0.48401253918495296,1996
Danville City,0.4997030077217992,1996
Dickenson County,0.3245486313337216,1996
Dinwiddie County,0.428973793779084,1996
Emporia City,0.4065238558909445,1996
Essex County,0.46051514293801304,1996
Fairfax City,0.4938822184105203,1996
Fairfax County,0.48193493455400627,1996
Falls Church City,0.38375350140056025,1996
Fauquier County,0.5744625610136047,1996
Floyd County,0.48066410204494836,1996
Fluvanna County,0.5165841212666967,1996
Franklin City,0.35450516986706054,1996
Franklin County,0.43456761052569615,1996
Frederick County,0.5761459917445144,1996
Fredericksburg City,0.41839714471122647,1996
Galax City,0.41723979825768,1996
Giles County,0.3815046089800773,1996
Gloucester County,0.5119510839355197,1996
Goochland County,0.5547474747474748,1996
Grayson County,0.4691550835545838,1996
Greene County,0.5529162746942615,1996
Greensville County,0.30601092896174864,1996
Halifax County,0.49070013609556934,1996
Hampton City,0.3728851641314849,1996
Hanover County,0.6360442345351918,1996
Harrisonburg City,0.5533176681212935,1996
Henrico County,0.5336693073966585,1996
Henry County,0.43642809236370605,1996
Highland County,0.5167895167895168,1996
Hopewell City,0.5078231809205529,1996
Isle of Wight County,0.47638314715454305,1996
James City County,0.5444958570967395,1996
King George County,0.5362378690894074,1996
King William County,0.5249496531662564,1996
King and Queen County,0.3893323657474601,1996
Lancaster County,0.5536480686695279,1996
Lee County,0.37482566248256627,1996
Lexington City,0.4156479217603912,1996
Loudoun County,0.5212852219744577,1996
Louisa County,0.45272137450438543,1996
Lunenburg County,0.4625560538116592,1996
Lynchburg City,0.49717538675473666,1996
Madison County,0.509090909090909,1996
Manassas City,0.5291058394160584,1996
Manassas Park City,0.49836779107725787,1996
Martinsville City,0.4186922286888052,1996
Mathews County,0.5178403755868545,1996
Mecklenburg County,0.4799571901148083,1996
Middlesex County,0.49825459622992785,1996
